network;comment;sitec;active;owner_id;owner_name;mail;Date;
10.87.56.0/23;GNS-Dev/Test - LTM/VNET Dev - Southeast Asia;AZRA1;TRUE;2;GNS-Dev;;;
10.87.52.0/23;GNS-Dev/Test - F5 DO POC - Southeast Asia;AZRA1;TRUE;2;GNS-Dev;;;
10.87.54.0/23;GNS-Dev/Test - LTM/VNET Dev -Southeast Asia;AZRA1;TRUE;2;GNS-Dev;;;
10.84.193.0/24;GNS-Dev - F5 Test Lab - eu-west-2;AWSE2;TRUE;2;GNS-Dev;;;
10.85.44.0/23;GNS VNet Testing - Development - North Europe;AZRE1;TRUE;2;GNS-Dev;;;
10.242.43.0/24;NAAS-DEV;AWSU1;TRUE;2;GNS-Dev;;;
10.85.68.0/23;GNS NaaS SPN Test - Development - North Europe;AZRE1;TRUE;2;GNS-Dev;;;
10.244.172.0/24;TEST - GNS DEV;AWSE1;TRUE;2;GNS-Dev;;;
10.111.228.0/23;NAAS Service VPC;AWSA1;TRUE;2;GNS-Dev;;;
10.244.51.0/24;GNS-NAAS-DEV - dev-awse1-dnsaas;AWSE1;TRUE;2;GNS-Dev;;;
10.244.160.0/24;GNS-DEV GCP HA VPN test - Development - eu-west-2;GCPE1;TRUE;2;GNS-Dev;;;
10.83.222.0/24;EPS - Production - us-east-1;AWSU1;TRUE;7;Alfresco-PRD;cmsops@pearson.com;9.05.2023;
10.82.56.0/24;EPS - Staging - us-east-1;AWSU1;FALSE;7;Alfresco-PRD;cmsops@pearson.com;9.05.2023;Umapathy Desineni via Personal mail
10.82.178.0/24;Blueprint-Staging;AWSU1;FALSE;7;Alfresco-PRD;cmsops@pearson.com;9.05.2023;5.06.2023
10.240.218.0/23;Alfresco - Production - eu-west-1;AWSU1;TRUE;7;Alfresco-PRD;cmsops@pearson.com;9.05.2023;
10.84.32.0/20;Alfresco - Production - eu-west-1;AWSE1;FALSE;7;Alfresco-PRD;cmsops@pearson.com;9.05.2023;
10.82.176.0/24;Blueprint-Production;AWSU1;FALSE;7;Alfresco-PRD;cmsops@pearson.com;9.05.2023;
10.83.0.0/20;Alfresco - Production - us-east-1;AWSU1;TRUE;7;Alfresco-PRD;;;
10.86.48.0/20;Alfresco - Production - ap-southeast-2;AWSA2;FALSE;7;Alfresco-PRD;cmsops@pearson.com;9.05.2023;
10.82.55.0/24;EPS - Production - us-east-1;AWSU1;FALSE;7;Alfresco-PRD;cmsops@pearson.com;9.05.2023;
10.86.32.0/20;Alfresco - Production - ap-south-1;AWSA5;FALSE;7;Alfresco-PRD;cmsops@pearson.com;9.05.2023;
10.83.64.0/19;Nibiru - Production - us-east-1;AWSU1;TRUE;9;Nibiru-PRD;;;
10.199.240.0/20;Nibiru-PRD;AWSU1;TRUE;9;Nibiru-PRD;;;
10.199.0.0/20;Nibiru-PRD;AWSU1;TRUE;9;Nibiru-PRD;;;
10.198.0.0/20;Nibiru-PRD;AWSU1;TRUE;9;Nibiru-PRD;;;
10.82.16.0/20;IdAM VPCs - Amazon AWS us-east-1;AWSU1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.86.72.0/24;IdAM VPCs - POC - ap-southeast-1;AWSA1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.83.51.0/24;IdAM Internal VPCs (Dev) - us-east-1;AWSU1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.86.27.0/24;IdAM Internal VPCs (Prod) - ap-southeast-1;AWSA1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.86.65.0/24;IdAM VPC's - DevOps - ap-southeast-1;AWSA1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.82.33.0/24;IdAM Prod Transit VPC - us-east-1;AWSU1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.86.26.0/24;IdAM Internal VPCs - ap-southeast-1;AWSA1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.86.71.0/24;IdAM Operations Support VPCs - ap-southeast-1;AWSA1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.84.55.0/24;IdAM Operations Support VPCs - eu-west-1;AWSE1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.84.16.0/21;IdAM VPCs - Amazon AWS eu-west-1;AWSE1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.83.50.0/24;IdAM Internal VPCs (Prod) - us-east-1;AWSU1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.240.42.0/24;IdAM - Development - ca-central-1;AWSU5;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.83.177.0/24;IdAM VPCs - POC - us-east-1;AWSU1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.84.54.0/24;IdAM VPC's - DevOps - eu-west-1;AWSE1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.82.32.0/24;IdAM VPCs - Amazon AWS us-west-2 (Test);AWSU4;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.240.35.0/24;IdAM - Test - us-east-1;AWSU1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.86.197.0/24;IdAM - Staging - ap-southeast-1;AWSA1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.82.57.0/24;IdAM Analytics - Amazon AWS us-east-1;AWSU1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.83.49.0/24;IdAM Internal VPCs - ca-central-1;AWSU5;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.240.41.0/24;IdAM - PPE - ca-central-1;AWSU5;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.86.24.0/23;IdAM - Production - ap-northeast-1;AWSA3;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.82.101.0/24;IdAM Analytics - Amazon AWS ca-central-1;AWSU5;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.83.48.0/24;IdAM Internal VPCs - us-east-1;AWSU1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.83.176.0/24;IdAM VPCs - POC - us-east-1;AWSU1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.86.28.0/22;IdAM POC VPCs - ap-southeast-1;AWSA1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.240.34.0/24;IdAM - Staging - us-east-1;AWSU1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.84.0.0/20;IdAM VPCs - Amazon AWS eu-west-1;AWSE1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.82.40.0/21;IdAM VPCs - Amazon AWS us-east-1 INC3349727;AWSU1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.84.53.0/24;IdAM Internal VPCs (Prod) - eu-west-1;AWSE1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.86.196.0/24;IdAM - Production - ap-southeast-1;AWSA1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.84.206.0/24;IdAM - Test - eu-west-1;AWSE1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.84.204.0/24;IdAM - Production - eu-west-1;AWSE1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.84.205.0/24;IdAM - Staging - eu-west-1;AWSE1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.84.52.0/24;IdAM Internal VPCs - eu-west-1;AWSE1;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.83.32.0/20;IdAM VPCs - ca-central-1;AWSU5;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
10.240.39.0/24;IdAM - Staging - ca-central-1;AWSU5;FALSE;10;IDAM;iam.support@pearson.com;9.05.2023;
