Domain Name;Record Type;Record Name;Action;Value;View
ciscopress.com;CNAME;_dmarc.ciscopress.com;Create;_dmarc.ciscopress_com._d.easydmarc.pro.;Common
collegeplus.org;CNAME;_dmarc.collegeplus.org;Create;_dmarc.collegeplus_org._d.easydmarc.pro.;Common
cti.co.za;CNAME;_dmarc.cti.co.za;Create;_dmarc.cti_co_za._d.easydmarc.pro.;Common
ecpa.fr;CNAME;_dmarc.ecpa.fr;Create;_dmarc.ecpa_fr._d.easydmarc.pro.;Common
edexcel.com;CNAME;_dmarc.edexcel.com;Create;_dmarc.edexcel_com._d.easydmarc.pro.;Common
edexcel.org.uk;CNAME;_dmarc.edexcel.org.uk;Create;_dmarc.edexcel_org_uk._d.easydmarc.pro.;Common
ediplc.com;CNAME;_dmarc.ediplc.com;Create;_dmarc.ediplc_com._d.easydmarc.pro.;Common
Lumerit.com;CNAME;_dmarc.Lumerit.com;Create;_dmarc.Lumerit_com._d.easydmarc.pro.;Common
mathology.ca;CNAME;_dmarc.mathology.ca;Create;_dmarc.mathology_ca._d.easydmarc.pro.;Common
microsoftpressstore.com;CNAME;_dmarc.microsoftpressstore.com;Create;_dmarc.microsoftpressstore_com._d.easydmarc.pro.;Common
pearson.ch;CNAME;_dmarc.pearson.ch;Create;_dmarc.pearson_ch._d.easydmarc.pro.;Common
pearson.com;CNAME;_dmarc.pearson.com;Create;_dmarc.pearson_com._d.easydmarc.pro.;Common
pearson.de;CNAME;_dmarc.pearson.de;Create;_dmarc.pearson_de._d.easydmarc.pro.;Common
pearson.it;CNAME;_dmarc.pearson.it;Create;_dmarc.pearson_it._d.easydmarc.pro.;Common
pearson.vc;CNAME;_dmarc.pearson.vc;Create;_dmarc.pearson_vc._d.easydmarc.pro.;Common
pearsonacademy.com.au;CNAME;_dmarc.pearsonacademy.com.au;Create;_dmarc.pearsonacademy_com_au._d.easydmarc.pro.;Common
pearsonactivelearn.com;CNAME;_dmarc.pearsonactivelearn.com;Create;_dmarc.pearsonactivelearn_com._d.easydmarc.pro.;Common
pearsoncanada.com;CNAME;_dmarc.pearsoncanada.com;Create;_dmarc.pearsoncanada_com._d.easydmarc.pro.;Common
pearsonclinical.asia;CNAME;_dmarc.pearsonclinical.asia;Create;_dmarc.pearsonclinical_asia._d.easydmarc.pro.;Common
pearsonclinical.co.uk;CNAME;_dmarc.pearsonclinical.co.uk;Create;_dmarc.pearsonclinical_co_uk._d.easydmarc.pro.;Common
pearsonclinical.in;CNAME;_dmarc.pearsonclinical.in;Create;_dmarc.pearsonclinical_in._d.easydmarc.pro.;Common
pearsoncustom.com;CNAME;_dmarc.pearsoncustom.com;Create;_dmarc.pearsoncustom_com._d.easydmarc.pro.;Common
pearsoned.com;CNAME;_dmarc.pearsoned.com;Create;_dmarc.pearsoned_com._d.easydmarc.pro.;Common
pearsoned.com.au;CNAME;_dmarc.pearsoned.com.au;Create;_dmarc.pearsoned_com_au._d.easydmarc.pro.;Common
pearsoned-ema.com;CNAME;_dmarc.pearsoned-ema.com;Create;_dmarc.pearsoned-ema_com._d.easydmarc.pro.;Common
pearsonelt.ca;CNAME;_dmarc.pearsonelt.ca;Create;_dmarc.pearsonelt_ca._d.easydmarc.pro.;Common
pearsonerpi.com;CNAME;_dmarc.pearsonerpi.com;Create;_dmarc.pearsonerpi_com._d.easydmarc.pro.;Common
pearson-inc.com;CNAME;_dmarc.pearson-inc.com;Create;_dmarc.pearson-inc_com._d.easydmarc.pro.;Common
pearsontc.com;CNAME;_dmarc.pearsontc.com;Create;_dmarc.pearsontc_com._d.easydmarc.pro.;Common
smarthinking.com;CNAME;_dmarc.smarthinking.com;Create;_dmarc.smarthinking_com._d.easydmarc.pro.;Common
talentlens.co.uk;CNAME;_dmarc.talentlens.co.uk;Create;_dmarc.talentlens_co_uk._d.easydmarc.pro.;Common
prod.pearson.com;CNAME;_dmarc.prod.pearson.com;Create;_dmarc.prod_pearson_com._d.easydmarc.pro.;Common
canada.pearson.com;CNAME;_dmarc.canada.pearson.com;Create;_dmarc.canada_pearson_com._d.easydmarc.pro.;Common
alerts.pearson.com;CNAME;_dmarc.alerts.pearson.com;Create;_dmarc.alerts_pearson_com._d.easydmarc.pro.;Common
eu.pearson.com;CNAME;_dmarc.eu.pearson.com;Create;_dmarc.eu_pearson_com._d.easydmarc.pro.;Common
support.pearson.com;CNAME;_dmarc.support.pearson.com;Create;_dmarc.support_pearson_com._d.easydmarc.pro.;Common
feedback.pearson.com;CNAME;_dmarc.feedback.pearson.com;Create;_dmarc.feedback_pearson_com._d.easydmarc.pro.;Common
services.pearson.com;CNAME;_dmarc.services.pearson.com;Create;_dmarc.services_pearson_com._d.easydmarc.pro.;Common
grp.pearson.com;CNAME;_dmarc.grp.pearson.com;Create;_dmarc.grp_pearson_com._d.easydmarc.pro.;Common
marketing.pearson.com;CNAME;_dmarc.marketing.pearson.com;Create;_dmarc.marketing_pearson_com._d.easydmarc.pro.;Common
anz.pearson.com;CNAME;_dmarc.anz.pearson.com;Create;_dmarc.anz_pearson_com._d.easydmarc.pro.;Common
sales.pearson.com;CNAME;_dmarc.sales.pearson.com;Create;_dmarc.sales_pearson_com._d.easydmarc.pro.;Common
