Domain Name;Record Type;Record Name;Current Value;Action;New Value;View;InfoBlox Managed
ciscopress.com;TXT;ciscopress.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.ciscopress_com._d.easydmarc.pro ~all;Common;Yes
collegeplus.org;TXT;collegeplus.org;v=spf1 include:spf.pearson.com -all;Update;v=spf1 include:_spf.collegeplus_org._d.easydmarc.pro ~all;Common;Yes
cti.co.za;TXT;cti.co.za;v=spf1 mx include:cmail1.com include:spf.protection.outlook.com include:spf.pearson.com ~all;Update;v=spf1 include:_spf.cti_co_za._d.easydmarc.pro ~all;Common;Yes
ecpa.fr;TXT;ecpa.fr;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.ecpa_fr._d.easydmarc.pro ~all;Common;Yes
edexcel.com;TXT;edexcel.com;v=spf1 include:spf.pearson.com ip4:207.126.144.0/20 ip4:64.18.0.0/20 ip4:193.30.108.0/24 ip4:62.244.185.128/27 ip4:109.68.65.47 ip4:195.69.215.57 -all;Update;v=spf1 include:_spf.edexcel_com._d.easydmarc.pro ~all;Common;Yes
edexcel.org.uk;TXT;edexcel.org.uk;v=spf1 include:spf.pearson.com ip4:207.126.144.0/20 ip4:64.18.0.0/20 ip4:193.30.108.0/24 ip4:62.244.185.128/27 ip4:195.69.215.57 -all;Update;v=spf1 include:_spf.edexcel_org.uk._d.easydmarc.pro ~all;Common;Yes
ediplc.com;TXT;ediplc.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com ip4:204.14.232.0/23 ip4:204.14.237.0/24 -all;Update;v=spf1 include:_spf.ediplc_com._d.easydmarc.pro ~all;Common;Yes
Lumerit.com;TXT;Lumerit.com;v=spf1 include:spf.mail.intercom.io include:amazonses.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.Lumerit_com._d.easydmarc.pro ~all;Common;Yes
mathology.ca;TXT;mathology.ca;v=spf1 a include:sendgrid.net -all;Update;v=spf1 include:_spf.mathology_ca._d.easydmarc.pro ~all;Common;Yes
microsoftpressstore.com;TXT;microsoftpressstore.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com ?all;Update;v=spf1 include:_spf.microsoftpressstore_com._d.easydmarc.pro ~all;Common;Yes
pearson.ch;TXT;pearson.ch;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.pearson_ch._d.easydmarc.pro ~all;Common;Yes
pearson.com;TXT;pearson.com;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 ip4:46.249.218.29 ip4:185.71.186.106 ip4:54.240.69.173 ip4:54.240.69.174 ip4:54.240.69.175 include:spf.protection.outlook.com  include:spf.pearson.com include:_spf.vaimo.net include:mail.zendesk.com -all;Update;v=spf1 include:_spf.pearson_com._d.easydmarc.pro ~all;Common;Yes
pearson.de;TXT;pearson.de;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.pearson_de._d.easydmarc.pro ~all;Common;Yes
pearson.vc;TXT;pearson.vc;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.pearson_vc._d.easydmarc.pro ~all;Common;Yes
pearsonacademy.com.au;TXT;pearsonacademy.com.au;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.pearsonacademy_com.au._d.easydmarc.pro ~all;Common;Yes
pearsonactivelearn.com;TXT;pearsonactivelearn.com;v=spf1 ip4:195.69.215.57 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.pearsonactivelearn_com._d.easydmarc.pro ~all;Common;Yes
pearsoncanada.com;TXT;pearsoncanada.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.pearsoncanada_com._d.easydmarc.pro ~all;Common;Yes
pearsonclinical.asia;TXT;pearsonclinical.asia;v=spf1 include:spf.pearson.com include:spf.protection.outlook.com -all;Update;v=spf1 include:_spf.pearsonclinical_asia._d.easydmarc.pro ~all;Common;Yes
pearsonclinical.co.uk;TXT;pearsonclinical.co.uk;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.pearsonclinical_co_uk._d.easydmarc.pro ~all;Common;Yes
pearsonclinical.in;TXT;pearsonclinical.in;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.pearsonclinical_in._d.easydmarc.pro ~all;Common;Yes
pearsoncustom.com;TXT;pearsoncustom.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com ?all;Update;v=spf1 include:_spf.pearsoncustom_com._d.easydmarc.pro ~all;Common;Yes
pearsoned.com;TXT;pearsoned.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com include:mail.zendesk.com ip4:54.240.31.40 ip4:54.240.31.41 ip4:54.240.31.42 -all;Update;v=spf1 include:_spf.pearsoned_com._d.easydmarc.pro ~all;Common;Yes
pearsoned.com.au;TXT;pearsoned.com.au;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.pearsoned_com.au._d.easydmarc.pro ~all;Common;Yes
pearsoned-ema.com;TXT;pearsoned-ema.com;v=spf1 ip4:195.69.215.57 ~all;Update;v=spf1 include:_spf.pearsoned-ema_com._d.easydmarc.pro ~all;Common;Yes
pearsonelt.ca;TXT;pearsonelt.ca;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com ip4:207.126.144.0/20 ip4:64.18.0.0/20 include:cmail1.com ~all;Update;v=spf1 include:_spf.pearsonelt_ca._d.easydmarc.pro ~all;Common;Yes
pearsonerpi.com;TXT;pearsonerpi.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com include:cmail1.com ip4:207.126.144.0/20 ip4:64.18.0.0/20 -all;Update;v=spf1 include:_spf.pearsonerpi_com._d.easydmarc.pro ~all;Common;Yes
pearson-inc.com;TXT;pearson-inc.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com ?all;Update;v=spf1 include:_spf.pearson-inc_com._d.easydmarc.pro ~all;Common;Yes
pearsontc.com;TXT;pearsontc.com;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf2.pearson.com -all;Update;v=spf1 include:_spf.pearsontc_com._d.easydmarc.pro ~all;Common;Yes
smarthinking.com;TXT;smarthinking.com;v=spf1 ip4:209.119.24.16/28 ip4:64.14.121.192/27 ip4:173.8.9.176/28 ip4:75.126.229.77/32 ip4:50.97.98.67/32 ip4:67.228.173.51/32 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.smarthinking_com._d.easydmarc.pro ~all;Common;Yes
talentlens.co.uk;TXT;talentlens.co.uk;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com include:spf.getfeedback.net -all;Update;v=spf1 include:_spf.talentlens_co_uk._d.easydmarc.pro ~all;Common;Yes
prod.pearson.com;TXT;prod.pearson.com;v=spf1 include:_spf.atoracle.com ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.prod.pearson_com._d.easydmarc.pro ~all;Common;Yes
canada.pearson.com;TXT;canada.pearson.com;v=spf1 ip4:198.245.81.0/24 ip4:136.147.176.0/24 ip4:13.111.0.0/16 ip4:136.147.182.0/24  ip4:136.147.135.0/24 ip4:199.122.123.0/24 include:cust-spf.exacttarget.com include:spf.pearson.com  include:spf.protection.outlook.com include:sendgrid.net -all;Update;v=spf1 include:_spf.canada.pearson_com._d.easydmarc.pro ~all;Common;Yes
alerts.pearson.com;TXT;alerts.pearson.com;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.alerts.pearson_com._d.easydmarc.pro ~all;Common;Yes
eu.pearson.com;TXT;eu.pearson.com;v=spf1 include:cust-spf.exacttarget.com include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.eu.pearson_com._d.easydmarc.pro ~all;Common;Yes
support.pearson.com;TXT;support.pearson.com;v=spf1 include:_spf.atoracle.com ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.pearson.com -all;Update;v=spf1 include:_spf.support.pearson_com._d.easydmarc.pro ~all;Common;Yes
feedback.pearson.com;TXT;feedback.pearson.com;v=spf1 ip4:64.151.119.33 ip4:64.151.112.130 ip4:142.0.180.184 ip4:142.0.186.76  ip4:208.73.7.175 ip4:185.92.121.141 ip4:52.60.87.177 include:cust-spf.exacttarget.com  include:spf.pearson.com include:spf.protection.outlook.com  -all;Update;v=spf1 include:_spf.feedback.pearson_com._d.easydmarc.pro ~all;Common;Yes
services.pearson.com;TXT;services.pearson.com;v=spf1 include:cust-spf.exacttarget.com include:spf.protection.outlook.com include:spf.pearson.com include:sendgrid.net -all;Update;v=spf1 include:_spf.services.pearson_com._d.easydmarc.pro ~all;Common;Yes
grp.pearson.com;TXT;grp.pearson.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com ip4:204.14.232.0/23 ip4:204.14.237.0/24 -all;Update;v=spf1 include:_spf.grp.pearson_com._d.easydmarc.pro ~all;Common;Yes
marketing.pearson.com;TXT;marketing.pearson.com;v=spf1 include:cust-spf.exacttarget.com include:spf.pearson.com include:spf.protection.outlook.com -all;Update;v=spf1 include:_spf.marketing.pearson_com._d.easydmarc.pro ~all;Common;Yes
anz.pearson.com;TXT;anz.pearson.com;v=spf1 include:spf.pearson.com include:spf.protection.outlook.com include:sendgrid.net  include:et._spf.pardot.com -all;Update;v=spf1 include:_spf.anz.pearson_com._d.easydmarc.pro ~all;Common;Yes
sales.pearson.com;TXT;sales.pearson.com;v=spf1 include:spf.protection.outlook.com include:spf.pearson.com ip4:162.242.197.196 ip4:208.117.51.229 -all;Update;v=spf1 include:_spf.sales.pearson_com._d.easydmarc.pro ~all;Common;Yes
uk.mail.pearson.com;TXT;uk.mail.pearson.com;v=spf1 ip4:13.111.54.73 include:et._spf.pardot.com include:cust-spf.exacttarget.com include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.uk.mail.pearson_com._d.easydmarc.pro ~all;Common;Yes
accelerated.pearson.com;TXT;accelerated.pearson.com;v=spf1 include:cust-spf.exacttarget.com -all;Update;v=spf1 include:_spf.accelerated.pearson_com._d.easydmarc.pro ~all;Common;Yes
brasil.pearson.com;TXT;brasil.pearson.com;v=spf1 ip4:204.14.232.0/23 ip4:204.14.237.0/24 include:spf.protection.outlook.com include:spf.pearson.com -all;Update;v=spf1 include:_spf.brasil.pearson_com._d.easydmarc.pro ~all;Common;Yes
